,Date,Stock Level,Discount,Promotion,Units Sold
0,2010-01-01,2381.0,8.506767883852604,Yes,59.0
1,2010-01-02,3252.0,9.283936575906601,No,203.0
2,2010-01-03,2883.0,9.548446172225947,No,33.0
3,2010-01-04,3586.0,9.660053574355052,Yes,117.0
4,2010-01-05,3578.0,9.086065081646161,No,71.0
5,2010-01-06,2557.0,9.503583349738435,No,432.0
6,2010-01-07,2568.0,9.732576160265054,No,27.0
7,2010-01-08,3629.0,8.65501392229096,Yes,169.0
8,2010-01-09,3947.0,9.050033725381994,Yes,34.0
9,2010-01-10,3784.0,8.499167652046356,No,150.0
10,2010-01-11,2742.0,9.861438955614474,Yes,77.0
11,2010-01-12,3033.0,8.356142496597393,Yes,263.0
12,2010-01-13,3403.0,9.918779184454369,No,194.0
13,2010-01-14,3465.0,9.446191874694257,Yes,146.0
14,2010-01-15,2777.0,8.842399946006509,No,324.0
15,2010-01-16,3164.0,8.952798511538969,No,126.0
16,2010-01-17,3050.0,8.665954787735338,Yes,14.0
17,2010-01-18,2066.0,9.481929635789612,Yes,546.0
18,2010-01-19,3598.0,8.438455373600608,No,110.0
19,2010-01-20,3822.0,9.029941501721662,No,66.0
20,2010-01-21,2781.0,9.751671471086077,No,17.0
21,2010-01-22,3289.0,8.55583007952449,No,158.0
22,2010-01-23,2202.0,9.259527526892636,No,104.0
23,2010-01-24,2796.0,9.616986035815142,Yes,77.0
24,2010-01-25,3937.0,9.006875894395481,No,233.0
25,2010-01-26,3371.0,9.732581772297038,No,106.0
26,2010-01-27,2861.0,9.968975380158128,No,112.0
27,2010-01-28,3653.0,8.653299798867902,No,159.0
28,2010-01-29,2704.0,8.64110695070009,No,202.0
29,2010-01-30,3213.0,8.347689180204455,Yes,121.0
30,2010-01-31,3823.0,8.914854545503633,No,108.0
31,2010-02-01,2952.0,8.766297953559388,Yes,150.0
32,2010-02-02,3693.0,9.524634328155592,Yes,63.0
33,2010-02-03,2368.0,8.951535018316356,Yes,111.0
34,2010-02-04,3500.0,9.487656549525429,Yes,4.0
35,2010-02-05,3504.0,8.380172426643554,Yes,537.0
36,2010-02-06,2527.0,8.681576140212009,No,100.0
37,2010-02-07,3953.0,9.005792327594035,Yes,189.0
38,2010-02-08,2982.0,9.637996200148073,Yes,34.0
39,2010-02-09,3926.0,9.658948362765862,Yes,224.0
40,2010-02-10,2216.0,9.495660632404892,Yes,304.0
41,2010-02-11,2469.0,8.800530508538733,Yes,213.0
42,2010-02-12,2196.0,9.516513791940667,No,267.0
43,2010-02-13,3464.0,9.203525491574087,Yes,237.0
44,2010-02-14,3304.0,8.820496488087057,No,249.0
45,2010-02-15,3183.0,8.950774140943055,Yes,119.0
46,2010-02-16,2198.0,9.055714079636513,No,250.0
47,2010-02-17,3245.0,9.04508054288625,No,84.0
48,2010-02-18,2780.0,9.500425711071738,No,61.0
49,2010-02-19,3132.0,9.599796232438397,Yes,104.0
50,2010-02-20,2346.0,9.355412242832426,Yes,23.0
51,2010-02-21,3347.0,9.660843621085032,No,18.0
52,2010-02-22,3266.0,8.829258417060986,Yes,77.0
53,2010-02-23,2141.0,8.83705113772051,Yes,77.0
54,2010-02-24,3375.0,9.821827361532385,Yes,30.0
55,2010-02-25,3972.0,9.74644789408708,Yes,209.0
56,2010-02-26,3729.0,8.587362152898466,No,102.0
57,2010-02-27,4138.0,9.157034520649582,Yes,74.0
58,2010-02-28,4074.0,9.960925101776063,Yes,107.0
59,2010-03-01,3740.0,9.754058997575692,No,49.0
60,2010-03-02,2720.0,8.804484081210148,No,81.0
61,2010-03-03,3408.0,9.98363640671084,Yes,229.0
62,2010-03-04,3114.0,8.541012485917607,Yes,103.0
63,2010-03-05,2547.0,8.497408949164221,Yes,94.0
64,2010-03-06,2926.0,8.522506045237654,Yes,101.0
65,2010-03-07,2266.0,8.702485440216465,No,8.0
66,2010-03-08,3071.0,8.504248589675935,Yes,253.0
67,2010-03-09,4143.0,9.42211337095436,Yes,48.0
68,2010-03-10,2415.0,8.497204306231481,Yes,3.0
69,2010-03-11,2408.0,9.898617746902199,Yes,239.0
70,2010-03-12,3659.0,9.041027287646694,No,16.0
71,2010-03-13,3357.0,9.64387235437813,No,203.0
72,2010-03-14,3126.0,8.510816669551659,Yes,246.0
73,2010-03-15,2394.0,8.478621799623102,No,156.0
74,2010-03-16,2642.0,8.48320896063449,No,134.0
75,2010-03-17,3997.0,8.90102559885255,Yes,200.0
76,2010-03-18,3025.0,9.051396390549964,Yes,29.0
77,2010-03-19,3268.0,9.295425303524308,No,143.0
78,2010-03-20,2202.0,9.119357385438052,No,298.0
79,2010-03-21,2798.0,9.998682155059615,Yes,242.0
80,2010-03-22,3076.0,9.126961091254202,Yes,47.0
81,2010-03-23,3432.0,9.337821639546041,Yes,75.0
82,2010-03-24,4051.0,9.072721008131333,Yes,443.0
83,2010-03-25,3464.0,9.80564744690944,Yes,170.0
84,2010-03-26,3628.0,9.538284679935721,No,21.0
85,2010-03-27,2509.0,9.274680196527463,Yes,31.0
86,2010-03-28,3714.0,8.78798188934189,No,369.0
87,2010-03-29,3888.0,9.525669651170816,Yes,417.0
88,2010-03-30,3492.0,8.757176319652443,Yes,64.0
89,2010-03-31,3101.0,8.471895323740556,Yes,226.0
90,2010-04-01,2527.0,8.343929344261044,Yes,50.0
91,2010-04-02,3368.0,8.782120028926089,No,158.0
92,2010-04-03,3289.0,9.495448150424085,Yes,41.0
93,2010-04-04,4145.0,9.513585655935078,Yes,110.0
94,2010-04-05,3198.0,8.722786598076176,Yes,188.0
95,2010-04-06,3245.0,8.782784111725109,Yes,360.0
96,2010-04-07,3317.0,9.40367445210874,Yes,131.0
97,2010-04-08,3888.0,9.60307449324699,No,149.0
98,2010-04-09,2354.0,8.522916972289863,No,97.0
99,2010-04-10,3591.0,9.010472627042896,No,283.0
100,2010-04-11,3791.0,8.315653684398617,Yes,341.0
101,2010-04-12,3674.0,8.574734018898251,Yes,120.0
102,2010-04-13,3855.0,8.314423415129681,No,204.0
103,2010-04-14,3376.0,9.631100995399542,Yes,31.0
104,2010-04-15,4201.0,9.777986330660635,Yes,195.0
